		PL	EN	RU
sprite.image	sprite=Sprite()\r\nsprite.image=0\r\nsprite.image=1\r\nsprite.image=2	ustawia numer obrazka na duszku	sets the image number on the ghost	устанавливает номер изображения на спрайте
sprite.flip	sprite=Sprite()\r\nsprite.flip = True\r\nsprite.flip = False\r\nsprite.flip = True\r\nsprite.flip = False	odbicie lustrzane duszka	mirror reflection sprite	зеркальное отображение спрайта
sprite.size	sprite=Sprite()\r\nsprite.size=50\r\nsprite.size=5\r\nfor i in range(100):\r\nsprite.size+=1\t	ustawia wielkość duszka	sets the size of the sprite	устанавливает размер спрайта
sprite.color	sprite=Sprite()\r\nsprite.color=Color(255,0,0)\r\nsprite.color=Color(0,255,0)	ustawia kolor duszka	sets the color of the sprite	устанавливает цвет спрайта
sprite.pen.on	for i in range(10):\r\narrow.pen.on = True\r\narrow.move(5)\r\narrow.pen.on = False\r\narrow.move(5)	włącza bądź wyłącza pisak w duszku	turns the pen on or off in the ghost	включает или отключает перо в спрайте
sprite.pen.size	for i in range(10):\r\n\tarrow.pen.size=i\r\n\tarrow.move(10)	ustawia wielkość pisaka w duszku	sets the size of the pen in the goblet	устанавливает размер пера в спрайте
sprite.pen.color	arrow.pen.color=Color(255,0,0)\r\narrow.move(20)\r\narrow.pen.color=Color(0,255,0)\r\narrow.move(20)\r\narrow.pen.color=Color(0,0,255)\r\narrow.move(20)	ustawia kolor pisaka w duszku	sets the color of the pen in the goblet	устанавливает цвет пера в спрайте
sprite.position	arrow.position = Vector(50,50)\r\narrow.position = Vector(0,50)\r\narrow.position = Vector(0,0)	ustawia pozycję duszka	sets the position of the sprite	устанавливает позицию спрайта
sprite.position.x	for i in range(10):\r\n\tarrow.position.x+=10	współrzędna x pozycji duszka	coordinate x the position of the sprite	х координата позиции спрайта
sprite.position.y	for i in range(10):\r\n\tarrow.position.x=i*10\r\n\tarrow.position.y=i*10	współrzędna y pozycji duszka	coordinate y the position of the sprite	у координата позиции спрайта
game.add	sprite = Sprite()\r\ngame.add(sprite)	dodaje duszka do gry	adds the goblet to the game	добавляет кубок в игру
game.remove	sprite = Sprite()\r\ngame.add(sprite)\r\ngame.remove(sprite)	usuwa duszka z gry	removes the goblet from the game	удаляет кубок из игры
game.background	game.background=Color(255,0,0)\r\ngame.background=Color(0,255,0)	ustawia kolor tła	sets the background color	устанавливает цвет фона
game.start	class Rabbit(Sprite):\r\n\tdef update(self):\r\n\t\tself.angle+=10\r\n\r\n\r\ngame.add(Rabbit())\r\ngame.start()	uruchamia grę poprzez cykliczne wykonywanie metody update na wszystkich duszkach	runs the game by cyclically running the update method on all sprites	запускает игру циклическим запуском метода обновления на всех спрайтах
__init__	class Rabbit(Sprite):\r\n\tdef __init__(self):\r\n\t\tself.image=0\r\n\t\tself.color=Color(255,0,0)\r\ngame.add(Rabbit())\r\ngame.start()	metoda uruchamiająca się podczas dodawania duszka do gry	method that starts when adding a sprite to the game	метод, который запускается при добавлении спрайта в игру
update	class Rabbit(Sprite):\r\n\tdef update(self):\r\n\t\tself.move(3)\r\n\t\tself.angle+=5\r\n\r\n\r\ngame.add(Rabbit())\r\ngame.start()	metoda duszka uruchamiająca się cyklicznie po starcie gry.	a sprite method that starts cyclically after the game starts.	метод спрайта, который запускается циклически после запуска игры.
game.key	class Rabbit(Sprite):\r\n\tdef update(self):\r\n\t\tif game.key('left'):\r\n\t\t\tself.position.x-=10\r\n\t\tif game.key('right'):\r\n\t\t\tself.position.x+=10\r\ngame.add(Rabbit())\r\ngame.start()	sprawdza czy dany klawisz jest wciśnięty	checks if the key is pressed	проверяет, нажата ли клавиша
game.mouse	class Rabbit(Sprite):\r\n\tdef update(self):\r\n\t\tself.position = game.mouse.position\r\n\t\tself.pen.on = game.mouse.pressed\r\ngame.add(Rabbit())\r\ngame.start()	klasa zawierająca pozycję myszy i stan przycisku	class containing the mouse position and button state	класс, содержащий положение мыши и состояние кнопки
sprite.collide	class Rabbit(Sprite):\r\n\tdef update(self):\r\n\t\tself.move(2)\r\n\t\tif self.collide(carrot):\r\n\t\t\tgame.remove(carrot)\r\n\tdef __init__(self):\r\n\t\tself.position=Vector(-80,0)\r\n\r\n\r\nclass Carrot(Sprite):\r\n\tdef __init__(self):\r\n\t\tself.image=34\r\n\t\tself.position=Vector(90,0)\r\n\r\n\r\ngame.add(Rabbit())\r\ncarrot=Carrot()\r\ngame.add(carrot)\r\ngame.start()	metoda sprawdzająca czy dany duszek styka się z innym.	a method to check if a given gander is in contact with another.	метод, который проверяет, находится ли спрайт в контакте с другим.
sprite.collide(sprites)	class Rabbit(Sprite):\r\n\tdef __init__(self,y):\r\n\t\tself.speed = random.randint(1,8)\r\n\t\tself.size = 20\r\n\t\tself.position = Vector(-80,y)\r\n\tdef update(self):\r\n\t\tself.move(self.speed)\r\nclass Carrot(Sprite):\r\n\tdef __init__(self,y):\r\n\t\tself.size = 20\r\n\t\tself.image = 34\r\n\t\tself.position = Vector(80,y)\r\n\tdef update(self):\r\n\t\tif(self.collide(rabbits)):\r\n\t\t\tgame.remove(self)\r\nrabbits = []\r\nfor i in range (-60,80,20):\r\n\trabbit = Rabbit(i)\r\n\trabbits.append(rabbit)\r\n\tgame.add(rabbit)\r\n\tgame.add(Carrot(i))\r\ngame.start()	metoda sprawdza, czy dany duszek spotyka się z którymś z listy	the method checks if the ghost meets one of the list	метод проверяет, соответствует ли спрайт любому из списков
