Guid	Path	Original	PL	EN	RU
82fcdf0e-911b-4654-910c-077f6285fe18			Możesz zastąpić obrazek nowym, spójrz jak lawa zmienia się w wodę.	You can replace a picture with a new one. See how lava turns into water.	Вы можете заменить картинку на новую, посмотрите, как лава превращается в воду.
bf15f6c3-6056-4d2e-91ca-e4e0afa065b2			Coś tu jest nie tak. Jesteś w stanie poprawić obrazek?	Something is wrong here. Are you able to fix the picture?	Здесь что-то не так. Можете ли вы исправить картину?
fdc97417-b294-4607-a23c-9f5d4893e1ba			Czas na własne dzieło, narysuj co chcesz.	It's time to create your own work. Draw anything you like.	Пришло время создать свою собственную работу. Рисуй все, что хочешь.
7653271b-ea97-49c0-b0a2-99ed4f846649			Jeszcze więcej wolności! Od teraz możesz rysować chwytając obrazki z panelu pod planszą i upuszczając je na planszy.	Even more freedom! From now on, you can draw by grabbing pictures from the panel below the grid, and dropping them onto the grid.	Еще больше свободы! Отныне вы можете рисовать, захватывая картинки с панели под доской и бросая их на сетку.
52408f99-7212-46a2-9f65-f7dc7bc95f75			Czas na pierwszą grę. W grach, królikiem steruję się strzałkami na ekranie lub strzałkami klawiatury, a instrukcje są cały czas wykonywane. Ta przykładowa gra polega na tym, że królik rysuje monety.	It's time for the first game. In games, you control the rabbit using the on-screen arrows or your keyboard's arrows, and the instructions are being executed all the time. This sample game consists in the rabbit drawing coins.	Время для первой игры. В играх кролик управляется стрелками на экране или стрелками на клавиатуре, и инструкции постоянно выполняются. В этом примере игры кролик рисует монеты.
bdfdc35c-da5a-446f-97e0-d61e84d0d43b			W tej grze królik będzie cały czas rysował monety. Możesz poruszać królikiem za pomocą strzałek.	In this game the rabbit will continuously draw coins. You can move the rabbit using arrows.	В этой игре кролик будет постоянно рисовать монеты. Вы можете перемещать кролика с помощью стрелок.
93f87ed2-bd5d-470a-9f24-23ae11294230			Pora na Twoją pierwszą grę! Możesz też korzystać z obrazków z panelu pod planszą.	Time for your first game! You can also use pictures from the panel below the grid.	Время для вашей первой игры! Вы также можете использовать изображения с панели под доской.
f4ede60b-13c7-4fc4-a42b-ad918c71e347			Jeśli chcesz żeby królik narysował wodę 10 razy, to umieść instrukcje w pętli.	If you want the rabbit to draw water 10 times, make a loop instruction.	Если вы хотите, чтобы кролик набирал воду 10 раз, сделайте инструкцию цикла.
b0fe257e-3be2-4723-996d-847702247b61			Możesz zmienić liczbę powtórzeń przeciągając liczbę w okienko instrukcji pętli. Tym razem królik narysuje lawę 15 razy.	You can change the number of repetitions by dragging the number into the loop instruction window. This time the rabbit will draw lava 15 times.	Вы можете изменить количество повторений, перетаскивая число в поле инструкции цикла. На этот раз кролик нарисует лаву 15 раз.
f42f80d6-fb47-428a-a4a2-53d4949213dc			Narysuj 6 monet.	Draw 6 coins.	Нарисуйте 6 монет.
07cc3d55-7fd6-40c7-a2f7-8fd3202e1ec2			Połóż warstwę ziemi.	Place a layer of earth.	Поместите слой земли
3bfffa9a-2dde-420f-8c8c-b7be4747758b			Goła ziemia nie wygląda dobrze, zasiej na niej trawę.	Bare ground doesn't look good. Plant grass on it.	Голая почва не выглядит хорошо, посеять на ней траву.
59af2899-d0b5-4f59-87da-113ed9bf62ae			Możesz umieszczać wiele instrukcji w jednej pętli.	You can place many instructions in one loop.	Вы можете поместить несколько инструкций в один цикл.
f47c3dd4-20b5-4135-8af2-c74be49594f2			Narysuj kolce. Pamiętaj o polu przerwy pomiędzy kolcami.	Draw thorns. Remember about a gap square between thorns.	Рисуем шипы. Помните разрыв между шипами.
b3077e8c-fac9-41ef-be4d-f8b4f7967872			Spróbujmy zmienić kolejność instrukcji w pętli. Królik stawia znaki w innych miejscach.	Let's try to change the order of instructions in the loop. The rabbit leaves marks in different places.	Попробуем изменить порядок инструкций в цикле. Кролик ставит отметки в других местах.
bd342c45-e8ee-4408-a90f-2c9c5f05ec44			Posadź wysokiego kaktusa w ziemi. Pamiętaj, że przycisk z gwiazdką na zielonym tle pozwala podejrzeć rozwiązanie.	Plant a tall cactus in the ground. Remember that the button with a star on a green background allows you to preview the solution.	Посадите в землю высокий кактус. Помните, что кнопка со звездочкой на зеленом фоне позволяет предварительно просмотреть решение.
2dd07f47-4b77-4662-8dea-fee23b347aa3			Połóż monety na zboczu góry.	Place coins on the mountain slope.	Положите монеты на склоне горы.
c605b2ff-603b-4dbd-b5a7-2baa99c075e7			Dorysuj szczyty kaktusom. Pamiętaj, że kolejność instrukcji w pętli może być ważna.	Draw cactus tops. Remember that the order of instructions in the loop may be of importance.	Нарисуйте вершины кактусов. Помните, что порядок инструкций в цикле может быть важным.
2fa4b020-fb9a-4166-a9ff-8802d8f80d5e			Możesz umieszczać instrukcje poza pętlą.	You can place instructions outside of the loop.	Вы можете разместить инструкции вне цикла.
95bfe7b6-034c-42f3-af0a-3587c97fe20b			Narysuj słupek.	Draw a post.	Нарисуй пост.
72cb260f-16ed-4176-aeef-eabc187011e9			Narysuj daszek z guzików.	Draw a rooftop made of buttons.	Нарисуйте крышу из кнопок.
0e9be639-e223-4101-9b1a-1e9fd4469de4			Zawieś flagi na maszcie.	Hang flags on the pole.	Повесьте флаги на шест.
df516eb7-3f95-436b-9877-c37930f8c80c			Możesz napisać teraz własny program.	You can now write your own program.	Теперь вы можете написать свою собственную программу.
53f01e76-d267-4101-b472-547055784e48			Użyj panelu pod planszą, żeby coś narysować.	Use the panel below the grid in order to draw something.	Используйте панель под доской, чтобы нарисовать что-то.
1d28fa52-2f50-47b6-8f6e-d1357cee0a16			Możesz używać wielu pętli w programie.	You can use multiple loops in a program.	Вы можете использовать несколько циклов в программе.
7e732dc2-8cbe-4217-bcb4-67b111d0a7b1			Połóż 2 warstwy ziemi, niech na powierzchni rośnie trawa.	Lay 2 layers of earth. Let grass grow on the surface.	Уложить 2 слоя земли. Пусть трава растет на поверхности.
b4f74ff0-11ca-46a4-a4c4-8f35439a4038			Postaw dwa słupki.	Place two posts.	Разместите два поста.
41c0bb13-1333-48fd-8347-8f7475c9fcc1			Wysyp ziemię i połóż stertę skrzyń.	Pour earth and place a pile of boxes.	Насыпьте землю и положите груду ящиков.
9fd9893c-e59f-458b-9cd7-b7249e1667aa			W pętli możesz rysować więcej niż jeden raz.	In a loop, you can draw more than once.	В цикле можно рисовать несколько раз.
a47ad385-4386-4517-9db2-76aceaa84c3a			Narysuj góry.	Draw mountains.	Нарисуйте горы.
eaa8c65a-724f-48d8-97c6-2e1ce5dbd0c0			Dorysuj pasujące klucze.	Draw matching keys.	Нарисуйте соответствующие ключи.
38a61070-4db3-475a-8d1c-99f933f08bd9			Posadź dwa wysokie kaktusy.	Plant two tall cacti.	Посади два высоких кактуса.
356853eb-e12c-4c3a-a0ae-fd7d1136be4b			Wypełnij skarbiec złotem.	Fill the vault with gold.	Наполните хранилище золотом.
c8176d76-3bcb-405a-b21b-5a217818a271			Skarbiec musi być zabezpieczony, postaw ściany i pancerne drzwi.	The vault must be secure, place walls and reinforced door.	Хранилище должно быть закреплено, установить стены и бронированную дверь.
a6dad512-c4cf-4a6a-aa9a-7f3be341e10b			Narysuj małego ślimaka.	Draw a small snail.	Нарисуй маленькую улитку.
09671a82-b8e9-429b-beb6-e0c7f41abb75			Możesz napisać teraz własny program.	You can also write your own program.	Вы можете написать свою собственную программу сейчас.
c0be4233-b737-4045-bf18-413671f6fcb2			Użyj panelu pod planszą żeby coś narysować.	Use the panel below the grid in order to draw something.	Используйте панель под доской, чтобы нарисовать что-то.
e4fbebfd-69f6-4d6b-bef1-064b585fea0f			Jeśli chcesz żeby królik zrobił coś tylko jeśli stoi na polu z obrazkiem, to umieść instrukcje w instrukcji warunkowej. W tym przykładzie królik zmieni kolor flag.	If you want the rabbit to do something only when it stands on a square with a picture, place instructions in a conditional instruction. In this example, the rabbit will change the color of the flags.	Если вы хотите, чтобы кролик делал что-то только тогда, когда он стоит на квадрате с картинкой, поместите инструкции в условную инструкцию. В этом примере кролик изменит цвет флажков.
bb1e6134-38eb-44cb-b404-84bc838fb863			Zamień klucze czerwone na żółte.	Replace red keys with yellow keys.	Замените красные клавиши на желтые.
9aeb15b6-3d42-4885-bd2c-c04007e14274			Zmień gołą ziemię na ziemię porośniętą trawą.	Replace bare ground with grass-covered ground.	Измените голую почву на травянистую почву.
ac6b79b6-278b-434c-9c94-7345b2a2bd09			Zmień kolor flag na czerwony.	Replace the color of the flags to red.	Замените цвет флагов на красный.
2ddf3d89-1397-45a5-bd68-37ed0fbf765d			Blok instrukcji umieszczony w instrukcji warunkowej może być rozbudowany. W tym przykładzie, za każdym razem gdy królik natknie się na zamek dorysowuje nad nim klucz.	Instruction block placed in a conditional instruction can be extended. In this example, every time the rabbit encounters a lock, it draws a key above it.	Блок инструкций, помещенный в условную инструкцию, может быть расширен. В этом примере каждый раз, когда кролик сталкивается с замком, он рисует ключ над ним.
56d9e9da-6aba-441f-b38e-b354836a36a6			Dorysuj szczyty kaktusów.	Draw cactus tops.	Нарисуйте вершины кактусов.
038636a6-3837-4e19-8c8f-980c1d6f4c6d			Dorysuj pnie kaktusom.	Draw cactus trunks.	Нарисуйте стволы кактусов.
a748cb94-0acd-4aa5-a3a2-73ec6433885a			Dorysuj drugą część wysp.	Draw second halves of the islands.	Нарисуйте вторую часть острова.
17d6e0fe-d889-4ef3-9e2f-61a2e7545161			Możesz napisać teraz własny program.	You can now write your own program.	Теперь вы можете написать свою собственную программу.
311336dc-53ad-4dda-92d9-6cae1214bef9			Możesz napisać teraz własny program. Możesz korzystać z panelu pod planszą.	You can now write your own program. You can use the panel below the grid.	Теперь вы можете написать свою собственную программу. Вы можете использовать панель под доской.
1e7b907b-8d02-419b-8d30-066ea87c6d82			Ta przykładowa gra polega na tym, że królik zbiera monety.	This sample game consists in the rabbit collecting coins.	В этом примере игры кролик собирает монеты.
c0914650-ac9b-4d65-825c-add269934b41			Napisz grę, w której królik dorysuje szczyt kaktusa jeśli trafi na pień.	Write a game, in which the rabbit will draw a cactus top if it encounters a trunk.	Напишите игру, в которой кролик нарисует верхушку кактуса, если встретит ствол.
6b2b0e0d-eeec-4eb4-880b-3406429050e4			Czas na stworzenie własnej gry. Możesz korzystać z panelu pod planszą.	Time to create you own game. You can use the panel below the grid.	Время создать свою собственную игру. Вы можете использовать панель под доской.
de601f3c-5939-4836-b7c7-521e60c3bf4c			W instrukcji warunkowej możesz umieścić wiele instrukcji. W tym przykładzie królik stawia flagę przed każdą monetą.	You can place multiple instructions in a conditional instruction. In this example, the rabbit puts a flag in front of every coin.	В условную инструкцию можно поместить несколько инструкций. В этом примере кролик ставит флаг перед каждой монетой.
46c58b7e-ede8-420f-a996-29875e11797f			Postaw znak ostrzegawczy przed przepaścią z kolcami.	Put a warning sign in front of the precipice with thorns.	Поместите предупреждающий знак против пропасти с шипами.
24988f6e-abd7-444f-b089-a13a6805032a			Powiększ kaktusy.	Enlarge the cacti.	Увеличить кактусы
8da70ecf-be46-4551-9670-77d61cf19663			Dorysuj pozostałe części wysepek.	Draw remaining parts of islands.	Нарисуйте остальные острова.
cc772d97-037a-449e-9d92-174f82fda30a			Naciągnij sprężyny od trampolin.	Tighten trampoline springs.	Растянуть пружины с батутов.
35749168-e996-428e-ad71-619c558973ec			Możesz używać kilku instrukcji warunkowych. W tym przykładzie chcę zamienić lawę w ziemię, a wodę w lawę.	You can use several conditional instructions. In this example, I want to replace lava with earth, and water with lava.	Вы можете использовать несколько условных инструкций. В этом примере я хочу превратить лаву в землю, а воду в лаву.
e92e7e96-04f7-4562-a421-5a68002c4b33			Spróbujmy zamienić miejscami instrukcje warunkowe... niestety, program przestał działać prawidłowo. Wiesz dlaczego tak się stało? Jeśli chcesz dokładnie sprawdzić działanie programu używaj strzałki po lewej stronie.	Let's try to swap conditional instructions... unfortunately, the program stopped working properly. Do you know why this happened? If you want to check the functioning of the program thoroughly, use the arrow on the left.	Попробуем изменить условные инструкции ... к сожалению, программа перестала нормально работать. Вы знаете, почему это произошло? Если вы хотите тщательно проверить работу программы, используйте стрелку слева.
5db1405a-98b5-4c34-a056-92d3bc3f9472			Gdy spotkasz trampolinę to naciągnij jej sprężynę, a gdy guzik to go wciśnij.	When you  encounter a trampoline, tighten its spring. If you encounter a button, press it.	Когда вы встретите батут, протяните его пружину, а когда кнопку, нажмите его.
659db9f0-cbe4-4887-800b-e27d3656b6d5			Przemaluj niebieskie klucze na czerwone, a czerwone na żółte.	Repaint the blue keys red, and the red keys yellow.	Покрасьте синие клавиши в красный, а красные - в желтый.
52b1997c-8fc0-4488-93dd-691b53dc69e5			Do każdego zamka dorysuj klucz i flagę w tym samym kolorze.	For every lock, draw a key and a flag in matching colors.	Нарисуйте ключ и флаг одного цвета для каждого замка.
a22d02c9-4b67-4834-a062-cd6cac34f895			Możesz napisać teraz własny program.	You can now write your own program.	Теперь вы можете написать свою собственную программу.
ec9b2389-8a5a-4c7e-ad15-27e33fe92bf4			Możesz napisać teraz własny program. Możesz korzystać z panelu pod planszą.	You can now write your own program. You can use the panel below the grid.	Теперь вы можете написать свою собственную программу. Вы можете использовать панель под доской.
4e13196d-fba5-441b-adbb-e6b189ede86d			W tej grze gdy królik znajdzie klucz to idzie otworzyć drzwi.	In this game, when the rabbit finds a key, it goes to open the door.	В этой игре, когда кролик находит ключ, он открывает дверь.
6e51e98b-d7dc-4060-bbf6-9a4ad6214639			Zmień kod ostatniej gry tak żeby królik po znalezieniu klucza podniósł go, otworzył drzwi i wrócił.	Change the code of the last game so that when the rabbit finds a key it picks it up, opens the door, and returns.	Измените код последней игры, чтобы кролик, найдя ключ, поднял его, открыл дверь и вернулся.
c4b7c025-8436-4155-9651-78ecf934a37d			W tej grze królik próbuje dojść do flagi. Jeśli wejdzie w lawę to stawia tabliczkę i kończy grę.	In this game the rabbit is trying to reach the flag. When it steps on lava, it puts a sign and the game ends.	В этой игре кролик пытается добраться до флага. Если он попадает в лаву, он ставит доску и заканчивает игру.
a42aa54d-d45e-4470-80c4-d691254b67a5			Napisz grę labirynt.	Write a maze game.	Написать лабиринт
02eff9c4-eacd-4828-b2a5-d5658f57723a			Zaprojektuj grę typu labirynt.	Design a maze-type game.	Создай лабиринт
ae71a0c3-34b8-4b01-b5b5-d99f2932e4ac			Dzięki działaniu dodawania można dodać dwie liczby.	Thanks to addition, two numbers can be added to one another.	Благодаря функции сложения вы можете добавить два числа.
67b170c1-310c-4a88-a360-a943f087785e			Ułóż stertę skrzynek. Przeciągnij dodawanie do okienka w instrukcji.	Place a pile of boxes. Drag addition to the window in the instruction.	Положите стопку коробок. Перетащите дополнение в окно инструкции.
9c9ce21c-df5b-44d8-bc0c-f3ddf99152ad			Dzięki działaniu odejmowania można odjąć dwie liczby. Przeciągnij odejmowanie do okienka w instrukcji.	Thanks to subtraction, two numbers can be subtraced from one another. Drag subtraction to the window in the instruction.	Благодаря функции вычитания вы можете вычесть два числа. Перетащите вычитание в окно в инструкции.
a11cef50-9fb0-4c6b-a1d9-41ee9ccde2ae			Posadź wieki kaktus.	Plant a large cactus.	Посадите большой кактус.
737d1040-89fd-4d04-9ea9-b37da032d76a			Dzięki działaniu mnożenia można mnożyć dwie liczby. Przeciągnij mnożenie do okienka w instrukcji.	Thanks to multiplication, two numbers can be multiplied by one another. Drag multiplication to the window in the instruction.	Умножая, вы можете умножить два числа. Перетащите умножение на окно в инструкции.
59513cea-580b-4ef0-9c9d-1bf75b5e9de9			Ustaw bardzo wysoki znak.	Place a very tall sign.	Поставьте очень высокий знак.
388e0c07-cc37-4561-a52d-58558995de0a			Dzięki działaniu dzielenia można dzielić pierwszą liczbę przez drugą. Przeciągnij dzielenie do okienka w instrukcji.	Thanks to division, the first number can be divided by the other number. Drag division to the window in the instruction.	Делив, вы можете разделить первое число на второе. Перетащите разделение на окно в инструкции.
d94b61dc-d6d5-4aa4-ad46-c6fd53f0cb13			Zawieś wysoko flagę.	Hang the flag high.	Повесьте флаг высоко.
8dafe654-2af8-4700-bd1b-bcd5acc31183			Zostaw monetę w wyznaczonym miejscu.	Leave a coin in the designated place.	Оставьте монету в назначенном месте.
cdb8d875-d809-4473-b4de-329910315d99			Zostaw monetę we wskazanym miejscu.	Leave a coin in the indicated place.	Оставьте монету в указанном месте.
95194fae-2c7c-41d1-b068-0cff1dd1ed5a			Aby tworzyć działania w nawiasach wystarczy przeciągnąć dowole działanie i upuścić w okienku działania w instrukcji.	In order to make calculations in brackets, all you need to do is drag a calculation of your choice and drop it in the calculation window in the instuction.	Чтобы создать действия в скобках, просто перетащите любое действие и перейдите на панель действий инструкции.
c2c3e55a-11cd-4994-bbf3-98a1c9b92ff1			Postaw zamek we wskazanym miejscu.	Place a lock in the indicated place.	Поставьте замок в указанном месте.
653ca4f2-55b7-4623-8ca4-07fd01045cd9			Nie musisz już liczyć pól na planszy, możesz wykorzystać "wysokość obrazka".	You don't need to count the grid's squares any more, you can use the "picture height".	Вам больше не нужно считать поля на доске, вы можете использовать «высоту изображения».
ac65ca43-49a7-4cb2-9fbd-49179b036796			Narysuj wysoki słup.	Draw a tall pole.	Нарисуйте высокий столб.
8386a0ed-9965-4033-ac3d-b2e79bef8130			Wystarczy że przeciągniesz "szerokość obrazka" do okienka w instrukcji i pętla wykona się 7 razy bo taka jest szerokość tej planszy.	It's enough to drag "picture width" to the window in the instruction, and the loop will be executed 7 times, because that's the width of this grid.	Просто перетащите «ширину изображения» в окно в инструкциях, и цикл будет выполнен 7 раз, потому что это ширина этой доски.
14893a5f-dcf0-476d-bf55-f7b105ac0b90			Ułóż kolce na podłodze.	Place thorns on the floor.	Расставьте шипы на полу.
8081c34c-4c3c-4924-94d7-a3dfc4650712			Wbij tabliczki w skrzynki.	Place signs in the boxes.	Поместите знаки в коробки.
a21717c2-d379-4566-b66d-40313763e429			Zauważ, że gdy rysujemy na co drugim pixelu to piszemy inną liczbę w pętli i jest ona 2 razy mniejsza niż ta której używamy gdy rysujemy na każdym pixelu.	Please note that when we draw on every other pixel, we write a different number in the loop, and this number is 2 times smaller than the one we use when we draw on every pixel.	Обратите внимание, что когда мы рисуем каждый второй пиксель, мы пишем в цикле другое число, и оно в 2 раза меньше того, которое мы используем при рисовании на каждом пикселе.
3fd0c06f-062a-448b-b3ad-d87929656b20			Korzystając z "wysokości obrazka" musimy pamiętać, że liczba której używamy do rysowania na co drugim pixelu również musi być 2 razy mniejsza, dlatego wystarczy podzielić "wysokość obrazka" przez 2.	Using  "picture height" we need to remember that the number which we use to draw on every other pixel must be 2 times smaller as well. That's why all you need to do is divide "picture height" by 2.	При использовании «высоты изображения» мы должны помнить, что число, которое мы используем для рисования на каждом втором пикселе, также должно быть в 2 раза меньше, поэтому вам нужно только разделить «высоту изображения» на 2.
3926be47-189d-4a4c-9801-4ce12d6de60b			Posadź kaktusy.	Plant cacti.	Сажайте кактусы.
59b96ca2-a575-431c-a745-6a628e36209f			Rada: użyj dzielenia przez 2.	Advice: use division by 2.	Совет: используйте деление на 2.
46f08519-e111-4b70-be4f-e03f9aef6547			Możesz napisać teraz własny program.	You can now write your own program.	Теперь вы можете написать свою собственную программу.
ba773394-15b2-49b6-a7b4-5fd3ee405313			Możesz napisać teraz własny program. Możesz korzystać z panelu pod planszą.	You can now write your own program. You can use the panel below the grid.	Теперь вы можете написать свою собственную программу. Вы можете использовать панель под доской.
02d65cc7-1210-440a-8fab-e6ef478e3f17			Witaj w kursie tworzenia gier. W poszczególnych lekcjach dowiesz się jak dodawać kolejne elementy do gier różnych gatunków.	Welcome to the game making course. In evey lesson you will learn how to add subsequent elements to games of various types.	Добро пожаловать в курс разработки игр. На отдельных уроках вы узнаете, как добавлять больше элементов в игры разных жанров.
debf6d3e-32e2-4e96-8576-cbff21193ccd			W tej lekcji tworzyć będziemy grę w której królik rysuje elementy na planszy. W grach instrukcje wykonywane są w nieskończoność.	In this lesson we are going to create a game in which the rabbit draws elements on the grid. In games, instructions are executed indefinitely.	В этом уроке мы создадим игру, в которой кролик рисует элементы на доске. В играх инструкции выполняются бесконечно.
92d309d0-6e03-4005-80b3-a146cc221c6f			Przenieś instrukcję rysowania i przeciągnij obrazek z monetą do okienka w instrukcji aby królik rysował monety.	Move the drawing instruction and drag the picture with a coin into the window in the instruction so that the rabbit will draw coins.	Переместите инструкцию рисования и перетащите изображение с монетой в окно инструкции, чтобы кролик нарисовал монеты.
142db96c-f8da-47b2-b40a-69154ad1593c			Dodanie instrukcji ruchu pozwoli na rysowanie w innych miejscach.	Adding a movement instruction will allow you to draw in other places.	Добавление инструкций движения позволит вам рисовать в другом месте.
ca9b84ed-5eea-4779-b7dc-857bd495bd6d			Zaprojektuj grę w której królik rysuje w kilku miejscach.	Design a game in which the rabbit draws in several places.	Разработайте игру, в которой кролик рисует в нескольких местах.
8392522b-9064-4575-b65e-2f8184f4cbf1			Czym więcej pól wokół królika zamalujesz tym grubszą linię uzyskasz.	The more squares around the rabbit you fill with paint, the thicker the line you will get.	Чем больше полей вы закрасите кролика, тем толще будет линия.
9ae8046a-75c6-4729-9b7d-233c9f793265			Zaprojektuj grę w której królik rysuje. Grubość linii zależy od Ciebie.	Design a game in which the rabbit draws. The thickness of lines depends on you.	Создайте игру, где рисует кролик. Толщина линии зависит от вас.
47522168-9bbe-493f-9720-3dc687d71618			Ciekawy efekt można uzyskać zwiększając odstęp pomiędzy zarysowywanymi polami.	You can get an interesting effect by increasing the distance between the squares being filled.	Вы можете получить интересный эффект, увеличивая расстояние между заполняемыми квадратами.
7a0a8389-6ecf-4e4c-8bbb-b4c23a78f8c0			Dla uzyskania efektu głębi użyj obrazków różnego koloru.	To obtain the effect of depth, use pictures of different colors.	Для эффекта глубины используйте изображения разных цветов.
5043b7f1-d03f-4a1b-a547-146cca001e52			Aby królik rysował serię elementów można umieścić instrukcje w pętli.	To make the rabbit draw a series of elements, you can place an instruction in a loop.	Чтобы кролик нарисовал серию элементов, вы можете поместить инструкции в цикл.
2e6b15e2-4c3a-49ba-9e14-2e81d4bfe808			Aby uniemożliwić rysowanie wyżej, wystarczy dodać instrukcję "przesuń królika w dół" przed blokiem instrukcji.	To prevent drawing above, all you need to do is add a "move the rabbit down" instruction before the instruction block.	Чтобы предотвратить рисование выше, просто добавьте инструкцию «переместить кролика вниз» перед блоком инструкции.
c3864a3d-2758-4cde-bd84-04177074af87			Napisz grę, w której królik rysuje seriami.	Write a game in which the rabbit draws in series.	Напишите игру, в которой кролик рисует сериями.
42ee5531-dcd8-43be-a115-3c8c76cf0e56			Możesz napisać własną grę. Możesz narysować własną planszę przeciągając obrazki z panelu pod planszą.	You can write your own game. You can draw your own grid by dragging pictures from the panel under the grid.	Вы можете написать свою собственную игру. Вы можете нарисовать свою собственную доску, перетаскивая изображения с панели под доской.
9c8231b5-b3b7-4d82-b9ad-4de236367d7a			W tym kursie będziemy tworzyć gry polegające na przekolorowywaniu obrazków.	In this course we are going to create games which consist in repainting pictures.	В этом курсе мы будем создавать игры, которые перекрашивают картинки.
1127cbb6-eda6-4ed1-b58e-d84ace26c6b8			Napisz grę, w której gdy królik spotka niebieski klucz to przekoloruje go na czerwono.	Write a game in which the rabbit will repaint every blue key it meets red.	Напишите игру, в которой, когда кролик встречает синий ключ, он окрашивается в красный цвет.
498b2c2d-c0c2-4bc1-ae7a-5e398f67e8bc			Napisz grę, w której gdy królik spotka żółty klucz to przekoloruje go na żółtą flagę.	Write a game in which the rabbit will repaint every yellow key it meets into a yellow flag.	Напишите игру, в которой, когда кролик встречает желтый ключ, он окрашивается в желтый флаг.
acc0d39d-72f0-4ca0-858d-93444c006dd4			Możemy w grze umieścić więcej elementów.	We can place more elements in the game.	Мы можем добавить больше элементов в игру.
23b16dab-fb07-46fd-985d-5921247651a0			Spróbuj stworzyć grę w której królik zmieni flagi niebieskie na czerwone, czerwone na żółte, a żółte na niebieskie.	Try to create a game in which the rabbit will change blue flags into red ones, red flags into yellow ones, and yellow flags into blue ones.	Попробуйте создать игру, в которой кролик изменит синие флаги на красный, красный на желтый и желтый на синий.
bee2b13c-1cc6-4b0b-bd3b-ef7815052506			Gdy królik zobaczy flagę to będzie wspinał się po maszcie i zawieszał flagi.	When the rabbit sees a flag, it will climb up the flag pole and hang flags.	Когда кролик увидит флаг, он поднимется на мачту и повесит флаги.
0f3c63d3-7ccd-4827-808b-b6ff3165d70c			Napisz grę, w której gdy królik spotka flagę to będzie wspinał się po maszcie i zawieszał flagi w tym samym kolorze.	Write a game in which whenever the rabbit meets a flag, it will climb up the flag pole and hang flags of the same color.	Напишите игру, в которой, когда кролик встречает флаг, он взбирается на мачту и вешает флаги того же цвета.
